city,city_ascii,lat,lng,country
Damboa,Damboa,11.15,12.75,Nigeria
Okara,Okara,30.8092,73.4536,Pakistan
Saidpur,Saidpur,25.8004,89,Bangladesh
Freiburg im Breisgau,Freiburg im Breisgau,47.995,7.85,Germany
Khénifra,Khenifra,32.9394,-5.6675,Morocco
Saga,Saga,33.2667,130.3,Japan
Rāichūr,Raichur,16.2,77.37,India
Burnaby,Burnaby,49.2667,-122.9667,Canada
Meycauayan,Meycauayan,14.7333,120.95,Philippines
Sơn Tây,Son Tay,21.1333,105.5,Vietnam
Nazipur,Nazipur,25.0415,88.7605,Bangladesh
Rancagua,Rancagua,-34.1667,-70.75,Chile
Kasukabe,Kasukabe,35.9753,139.7523,Japan
Dzerzhinsk,Dzerzhinsk,56.2333,43.45,Russia
Phú Yên,Phu Yen,21.4156,105.8739,Vietnam
Bratsk,Bratsk,56.1167,101.6,Russia
Barishal,Barishal,22.7,90.3667,Bangladesh
Jiayuguan,Jiayuguan,39.8112,98.2862,China
Santa Ana,Santa Ana,14.58,121.012,Philippines
Eloy Alfaro,Eloy Alfaro,-2.1733,-79.8311,Ecuador
Envigado,Envigado,6.1667,-75.5667,Colombia
Banfield,Banfield,-34.75,-58.3833,Argentina
Guadalupe,Guadalupe,22.7528,-102.5078,Mexico
Ageoshimo,Ageoshimo,35.9774,139.5932,Japan
Fremont,Fremont,37.5265,-121.9843,United States
Qarchak,Qarchak,35.4394,51.5689,Iran
Gulfport,Gulfport,30.4274,-89.0704,United States
Purwokerto,Purwokerto,-7.4278,109.2417,Indonesia
Puerto Vallarta,Puerto Vallarta,20.6458,-105.2222,Mexico
Toluca,Toluca,19.2925,-99.6569,Mexico
Ormoc,Ormoc,11.0106,124.6075,Philippines
Neuquén,Neuquen,-38.9525,-68.0642,Argentina
Fresnillo,Fresnillo,23.175,-102.8675,Mexico
Singkawang,Singkawang,0.9,108.9833,Indonesia
Orsk,Orsk,51.2,58.5667,Russia
Vizianagaram,Vizianagaram,18.1159,83.406,India
Manavgat,Manavgat,36.7833,31.4333,Turkey
Cotia,Cotia,-23.6042,-46.9194,Brazil
Pāli,Pali,25.77,73.33,India
Songadh,Songadh,21.167,73.564,India
Noginsk,Noginsk,64.4833,91.2333,Russia
Kropyvnytskyi,Kropyvnytskyi,48.5,32.2667,Ukraine
Haridwār,Haridwar,29.945,78.163,India
Ordu,Ordu,40.9833,37.8833,Turkey
Taitō,Taito,35.7126,139.78,Japan
Ternopil,Ternopil,49.5667,25.6,Ukraine
Bojnūrd,Bojnurd,37.475,57.3333,Iran
Rondonópolis,Rondonopolis,-16.4667,-54.6333,Brazil
Cobán,Coban,15.4833,-90.3667,Guatemala
Guantánamo,Guantanamo,20.1367,-75.2139,Cuba
Krefeld,Krefeld,51.3333,6.5667,Germany
Pāthardi,Pathardi,19.17,75.18,India
Şabyā,Sabya,17.1489,42.6258,Saudi Arabia
Kolpino,Kolpino,59.7333,30.6,Russia
Petlād,Petlad,22.47,72.8,India
Khanewal,Khanewal,30.3,71.9333,Pakistan
Magé,Mage,-22.6528,-43.0408,Brazil
Ninh Hòa,Ninh Hoa,12.4917,109.1258,Vietnam
Khatīma,Khatima,28.92,79.97,India
Apapa,Apapa,6.45,3.3667,Nigeria
Choloma,Choloma,15.6136,-87.9511,Honduras
Capiatá,Capiata,-25.35,-57.42,Paraguay
Pallāvaram,Pallavaram,12.9675,80.1491,India
Nadiād,Nadiad,22.69,72.86,India
Tarrasa,Tarrasa,41.5611,2.0081,Spain
Daşoguz,Dasoguz,41.8333,59.9667,Turkmenistan
Probolinggo,Probolinggo,-7.75,113.2167,Indonesia
Cikupa,Cikupa,-6.4947,106.6511,Indonesia
Evansville,Evansville,37.9881,-87.5341,United States
Araraquara,Araraquara,-21.7939,-48.1758,Brazil
Quetzaltenango,Quetzaltenango,14.8333,-91.5167,Guatemala
Angarsk,Angarsk,52.55,103.9,Russia
Sousse,Sousse,35.8333,10.6333,Tunisia
Nyanza,Nyanza,-2.35,29.7333,Rwanda
Cox’s Bāzār,Cox's Bazar,21.4272,92.005,Bangladesh
Takarazuka,Takarazuka,34.8114,135.3406,Japan
Atsugichō,Atsugicho,35.4333,139.3667,Japan
Itapevi,Itapevi,-23.5489,-46.9342,Brazil
Marcory,Marcory,5.3,-3.9833,Côte d'Ivoire
Toamasina,Toamasina,-18.15,49.4167,Madagascar
Padangsidempuan,Padangsidempuan,1.3786,99.2722,Indonesia
Varāmīn,Varamin,35.3242,51.6458,Iran
Mutare,Mutare,-18.9667,32.6333,Zimbabwe
Mubi,Mubi,10.2604,13.2606,Nigeria
Chuādānga,Chuadanga,23.644,88.8556,Bangladesh
Korolëv,Korolev,55.9167,37.8167,Russia
Hunchun,Hunchun,42.8679,130.3585,China
Blagoveshchensk,Blagoveshchensk,50.2578,127.5364,Russia
Velikiy Novgorod,Velikiy Novgorod,58.521,31.2758,Russia
Longjin,Longjin,22.8711,113.0684,China
Rennes,Rennes,48.1147,-1.6794,France
Ashdod,Ashdod,31.8,34.65,Israel
Częstochowa,Czestochowa,50.8,19.1167,Poland
Carlos Manuel de Céspedes,Carlos Manuel de Cespedes,21.5767,-78.2775,Cuba
Chapecó,Chapeco,-27.0958,-52.6178,Brazil
Hialeah,Hialeah,25.8696,-80.3045,United States
Ōta,Ota,36.2911,139.3754,Japan
Sandton,Sandton,-26.107,28.0517,South Africa
Navarre,Navarre,30.4174,-86.8907,United States
Ijebu-Ode,Ijebu-Ode,6.8208,3.9208,Nigeria
Tilburg,Tilburg,51.55,5.0833,Netherlands
Cork,Cork,51.8972,-8.47,Ireland
Tanjore,Tanjore,10.787,79.1378,India
Bandar-e Būshehr,Bandar-e Bushehr,28.9264,50.8514,Iran
Hachinohe,Hachinohe,40.5123,141.4884,Japan
Staryy Oskol,Staryy Oskol,51.2981,37.835,Russia
Kichha,Kichha,28.92,79.5,India
Secunderābād,Secunderabad,17.4399,78.4983,India
Tiptūr,Tiptur,13.26,76.48,India
Ji’an Shi,Ji'an Shi,41.1231,126.1815,China
Mallawī,Mallawi,27.7333,30.8333,Egypt
José C. Paz,Jose C. Paz,-34.5167,-58.7667,Argentina
Bel Air South,Bel Air South,39.5022,-76.3113,United States
Rufisque,Rufisque,14.7167,-17.2667,Senegal
Presidente Prudente,Presidente Prudente,-22.1256,-51.3889,Brazil
Barra do Dande,Barra do Dande,-8.4728,13.3731,Angola
Hobart,Hobart,-42.8806,147.325,Australia
Swindon,Swindon,51.56,-1.78,United Kingdom
Lutsk,Lutsk,50.75,25.3358,Ukraine
Katri,Katri,23.48,80.4,India
Sambhal,Sambhal,28.58,78.55,India
Guéckédou,Gueckedou,8.5667,-10.1333,Guinea
Sabadell,Sabadell,41.5483,2.1075,Spain
Neyshābūr,Neyshabur,36.22,58.82,Iran
North Port,North Port,27.0576,-82.1977,United States
Radom,Radom,51.4036,21.1567,Poland
Santa Luzia,Santa Luzia,-19.77,-43.8506,Brazil
Polokwane,Polokwane,-23.9,29.45,South Africa
Chí Linh,Chi Linh,21.133,106.383,Vietnam
Tchaourou,Tchaourou,8.8833,2.6,Benin
Duekoué,Duekoue,6.7333,-7.35,Côte d'Ivoire
San Felipe,San Felipe,10.3353,-68.7458,Venezuela
Sāveh,Saveh,35.0214,50.3567,Iran
San Bernardino,San Bernardino,34.1416,-117.2943,United States
Portland,Portland,43.6773,-70.2715,United States
Santo Tomas,Santo Tomas,14.0833,121.1833,Philippines
Osisioma,Osisioma,5.1497,7.3303,Nigeria
La Vega,La Vega,19.22,-70.53,Dominican Republic
Nishitōkyō,Nishitokyo,35.7256,139.5383,Japan
Damietta,Damietta,31.4167,31.8214,Egypt
Pangkalpinang,Pangkalpinang,-2.1333,106.1167,Indonesia
Juazeiro,Juazeiro,-9.4306,-40.5028,Brazil
Kremenchuk,Kremenchuk,49.0631,33.4039,Ukraine
Itabuna,Itabuna,-14.7858,-39.28,Brazil
Ānand,Anand,22.556,72.951,India
Ciputat,Ciputat,-6.3111,106.7619,Indonesia
Al Khubar,Al Khubar,26.2833,50.2,Saudi Arabia
Peñalolén,Penalolen,-33.4833,-70.55,Chile
Islington,Islington,51.544,-0.1027,United Kingdom
Mainz,Mainz,49.9833,8.2667,Germany
Konibodom,Konibodom,40.2833,70.4167,Tajikistan
Zākhū,Zakhu,37.15,42.6833,Iraq
Enterprise,Enterprise,36.0091,-115.2278,United States
Bremerton,Bremerton,47.5436,-122.7121,United States
Córdoba,Cordoba,18.8942,-96.9347,Mexico
Green Bay,Green Bay,44.5148,-87.9895,United States
Tuluá,Tulua,4.0833,-76.2,Colombia
Pleiku,Pleiku,13.9833,108,Vietnam
Hortolândia,Hortolandia,-22.8583,-47.22,Brazil
Bitung,Bitung,1.4472,125.1978,Indonesia
Naihāti,Naihati,22.89,88.42,India
Petrel,Petrel,38.4789,-0.7967,Spain
Kafue,Kafue,-15.7667,28.1833,Zambia
Jiutepec,Jiutepec,18.8833,-99.1667,Mexico
Manta,Manta,-0.95,-80.7162,Ecuador
Osan,Osan,37.1498,127.0771,South Korea
San Miguel,San Miguel,13.4814,-88.1775,El Salvador
Butembo,Butembo,0.15,29.2833,Congo (Kinshasa)
Netanya,Netanya,32.3286,34.8567,Israel
Oviedo,Oviedo,43.36,-5.845,Spain
Itaboraí,Itaborai,-22.7439,-42.8589,Brazil
Appleton,Appleton,44.278,-88.3892,United States
Zamora,Zamora,19.9833,-102.2833,Mexico
Alor Setar,Alor Setar,6.1183,100.3694,Malaysia
Luton,Luton,51.8783,-0.4147,United Kingdom
Babylon,Babylon,40.6925,-73.3586,United States
Laâyoune,Laayoune,27.1536,-13.2033,Morocco
Shashemenē,Shashemene,7.2,38.6,Ethiopia
Tân An,Tan An,10.5333,106.4167,Vietnam
Spring Valley,Spring Valley,36.0952,-115.2636,United States
Denov,Denov,38.2667,67.9,Uzbekistan
Cartagena,Cartagena,37.6,-0.9819,Spain
Tacoma,Tacoma,47.2431,-122.4531,United States
Yamunānagar,Yamunanagar,30.133,77.288,India
Lübeck,Lubeck,53.8697,10.6864,Germany
Zielona Góra,Zielona Gora,51.9333,15.5,Poland
Maţraḩ,Matrah,23.6167,58.5667,Oman
Qostanay,Qostanay,53.2,63.62,Kazakhstan
Banjarbaru,Banjarbaru,-3.4425,114.8325,Indonesia
Sa Đéc,Sa Dec,10.3,105.7667,Vietnam
Wayaobu,Wayaobu,37.1398,109.6711,China
Valencia,Valencia,7.9042,125.0928,Philippines
Norwich,Norwich,52.6286,1.2928,United Kingdom
Gujiao,Gujiao,37.9069,112.17,China
Ayacucho,Ayacucho,-13.1631,-74.2244,Peru
Petropavl,Petropavl,54.8833,69.1667,Kazakhstan
Madiun,Madiun,-7.63,111.5231,Indonesia
Dongxing,Dongxing,21.5833,108.05,China
Zhubei,Zhubei,24.8333,121.0119,Taiwan
São Leopoldo,Sao Leopoldo,-29.76,-51.1469,Brazil
Hebron,Hebron,31.5333,35.095,West Bank
Spartanburg,Spartanburg,34.9442,-81.9251,United States
Marg‘ilon,Marg`ilon,40.4711,71.7247,Uzbekistan
Ar Ruseris,Ar Ruseris,11.85,34.3833,Sudan
Trece Martires City,Trece Martires City,14.2833,120.8667,Philippines
Gangneung,Gangneung,37.75,128.9,South Korea
Roanoke,Roanoke,37.2785,-79.9581,United States
Cúa,Cua,10.1667,-66.8833,Venezuela
Almere,Almere,52.3667,5.2167,Netherlands
As Samāwah,As Samawah,31.3167,45.2833,Iraq
Monghyr,Monghyr,25.381,86.465,India
Vantaa,Vantaa,60.2944,25.0403,Finland
Kāpra,Kapra,17.4859,78.5651,India
Golmud,Golmud,36.4072,94.9283,China
Comalcalco,Comalcalco,18.2801,-93.2018,Mexico
Geneva,Geneva,46.2017,6.1469,Switzerland
Regina,Regina,50.4547,-104.6067,Canada
La Victoria,La Victoria,10.2278,-67.3336,Venezuela
Shimla,Shimla,31.1033,77.1722,India
Northampton,Northampton,52.2304,-0.8938,United Kingdom
Babruysk,Babruysk,53.15,29.2333,Belarus
Mohammedia,Mohammedia,33.6833,-7.3833,Morocco
Erfurt,Erfurt,50.9833,11.0333,Germany
Sete Lagoas,Sete Lagoas,-19.4658,-44.2469,Brazil
Sikasso,Sikasso,11.3167,-5.6667,Mali
Warnes,Warnes,-17.5167,-63.1667,Bolivia
Móstoles,Mostoles,40.3333,-3.8667,Spain
Quilicura,Quilicura,-33.3667,-70.7333,Chile
Chilas,Chilas,35.4194,74.0944,Pakistan
Cao Lãnh,Cao Lanh,10.4672,105.6303,Vietnam
El Tigre,El Tigre,8.8858,-64.2611,Venezuela
Gokāk,Gokak,16.1667,74.8333,India
Divinópolis,Divinopolis,-20.1389,-44.8839,Brazil
Gainesville,Gainesville,29.6804,-82.3459,United States
Colombo,Colombo,-25.2919,-49.2239,Brazil
Jerez de la Frontera,Jerez de la Frontera,36.6817,-6.1378,Spain
Puri,Puri,19.8106,85.8314,India
Sidi Bel Abbès,Sidi Bel Abbes,35.2,-0.6333,Algeria
Nandyāl,Nandyal,15.48,78.48,India
Limbe,Limbe,4.0167,9.2167,Cameroon
Kure,Kure,34.25,132.5667,Japan
Tumaco,Tumaco,1.8067,-78.7647,Colombia
Padova,Padova,45.4064,11.8778,Italy
Irákleio,Irakleio,35.3403,25.1344,Greece
Deltona,Deltona,28.905,-81.2137,United States
Arroyo Naranjo,Arroyo Naranjo,23.0436,-82.3328,Cuba
Bhadrāvati,Bhadravati,13.8485,75.705,India
Colón,Colon,9.3572,-79.8986,Panama
Linz,Linz,48.3058,14.2864,Austria
Oberhausen,Oberhausen,51.4967,6.8706,Germany
Criciúma,Criciuma,-28.6775,-49.3697,Brazil
Kuje,Kuje,8.8822,7.2203,Nigeria
Mytishchi,Mytishchi,55.9167,37.7667,Russia
Lyubertsy,Lyubertsy,55.6783,37.8944,Russia
Pamplona,Pamplona,42.8167,-1.65,Spain
Panchkula,Panchkula,30.74,76.8,India
Kalamazoo,Kalamazoo,42.2749,-85.5882,United States
Pskov,Pskov,57.8167,28.3333,Russia
Bila Tserkva,Bila Tserkva,49.7956,30.1167,Ukraine
‘Aqrah,`Aqrah,36.7414,43.8933,Iraq
Ploieşti,Ploiesti,44.9411,26.0225,Romania
Isesaki,Isesaki,36.3114,139.1968,Japan
Naga City,Naga City,13.6244,123.1864,Philippines
Burgas,Burgas,42.503,27.4702,Bulgaria
Burhānpur,Burhanpur,21.3,76.23,India
Chungju,Chungju,36.9667,127.95,South Korea
Maracanaú,Maracanau,-3.8667,-38.6333,Brazil
Thousand Oaks,Thousand Oaks,34.1914,-118.8756,United States
Hickory,Hickory,35.741,-81.3223,United States
Pagadian,Pagadian,7.8272,123.4364,Philippines
Legazpi City,Legazpi City,13.1333,123.7333,Philippines
Barrancabermeja,Barrancabermeja,7.0667,-73.85,Colombia
Bukit Mertajam,Bukit Mertajam,5.3631,100.4667,Malaysia
Kirātot,Kiratot,32.8376,76.2296,India
Ashaiman,Ashaiman,5.7,-0.0333,Ghana
Taisheng,Taisheng,23.2938,113.353,China
Sidon,Sidon,33.5606,35.3758,Lebanon
Rostock,Rostock,54.0833,12.1333,Germany
Guarenas,Guarenas,10.4739,-66.5383,Venezuela
Santa Cruz,Santa Cruz,28.4667,-16.25,Spain
Panabo,Panabo,7.3,125.6833,Philippines
Dongning,Dongning,44.0608,131.1187,China
Borj Hammoud,Borj Hammoud,33.8936,35.5403,Lebanon
Kasangati,Kasangati,0.4378,32.6025,Uganda
Solihull,Solihull,52.413,-1.778,United Kingdom
Burutu,Burutu,5.35,5.5167,Nigeria
Nasīm Shahr,Nasim Shahr,35.5644,51.1647,Iran
Moratuwa,Moratuwa,6.7991,79.8767,Sri Lanka
Yonkers,Yonkers,40.9466,-73.8673,United States
Ich’ŏn,Ich'on,37.2667,127.4333,South Korea
Milton Keynes,Milton Keynes,52.04,-0.76,United Kingdom
Marawi City,Marawi City,8,124.3,Philippines
Puerto Cabello,Puerto Cabello,10.4667,-68.0167,Venezuela
Beersheba,Beersheba,31.2589,34.7997,Israel
Huangyan,Huangyan,28.65,121.25,China
Oulu,Oulu,65.0142,25.4719,Finland
Santo Agostinho,Santo Agostinho,-8.2897,-35.03,Brazil
Lubuklinggau,Lubuklinggau,-3.2967,102.8617,Indonesia
Mary,Mary,37.6,61.8333,Turkmenistan
Sunyani,Sunyani,7.3333,-2.3333,Ghana
Cascais,Cascais,38.7,-9.4167,Portugal
Northcote,Northcote,-36.8019,174.7494,New Zealand
Moreno Valley,Moreno Valley,33.9244,-117.2045,United States
Qinā,Qina,26.1667,32.7167,Egypt
Toledo,Toledo,10.3833,123.65,Philippines
Kharagpur,Kharagpur,22.3302,87.3237,India
Waitakere,Waitakere,-36.85,174.543,New Zealand
Fontana,Fontana,34.0968,-117.4599,United States
Monywa,Monywa,22.1083,95.1417,Myanmar
Dindigul,Dindigul,10.35,77.95,India
Robertsonpet,Robertsonpet,12.9563,78.2754,India
Morogoro,Morogoro,-6.8242,37.6633,Tanzania
Pingzhen,Pingzhen,24.9439,121.2161,Taiwan
Banī Suwayf,Bani Suwayf,29.0667,31.0833,Egypt
College Station,College Station,30.5852,-96.2959,United States
Bà Rịa,Ba Ria,10.4992,107.1675,Vietnam
Cidade de Nacala,Cidade de Nacala,-14.5428,40.6728,Mozambique
Talca,Talca,-35.4269,-71.6656,Chile
Fargo,Fargo,46.8651,-96.8292,United States
Portoviejo,Portoviejo,-1.0561,-80.4553,Ecuador
Parakou,Parakou,9.35,2.6167,Benin
Hospet,Hospet,15.2689,76.3909,India
Trieste,Trieste,45.6503,13.7703,Italy
San Carlos City,San Carlos City,15.9281,120.3489,Philippines
Kodaira,Kodaira,35.7285,139.4774,Japan
Itami,Itami,34.7833,135.4,Japan
Lingampalli,Lingampalli,17.4865,78.317,India
Kalemie,Kalemie,-5.9128,29.1906,Congo (Kinshasa)
Kamirenjaku,Kamirenjaku,35.6836,139.5595,Japan
Loures,Loures,38.8333,-9.1667,Portugal
Biskra,Biskra,34.85,5.7333,Algeria
Ingrāj Bāzār,Ingraj Bazar,25.0044,88.1458,India
Phủ Từ Sơn,Phu Tu Son,21.1189,105.9611,Vietnam
La Ceiba,La Ceiba,15.7792,-86.7931,Honduras
Bené Beraq,Bene Beraq,32.0833,34.8333,Israel
Nagareyama,Nagareyama,35.8563,139.9029,Japan
Ongole,Ongole,15.506,80.049,India
Zanzibar,Zanzibar,-6.165,39.199,Tanzania
Jiutai,Jiutai,44.1447,125.8443,China
Bolu,Bolu,40.7347,31.6075,Turkey
Ziguinchor,Ziguinchor,12.5833,-16.2667,Senegal
Ternate,Ternate,0.78,127.3819,Indonesia
Puqi,Puqi,29.7204,113.88,China
Qal‘at Bīshah,Qal`at Bishah,20,42.6,Saudi Arabia
Ellore,Ellore,16.7117,81.1031,India
Betigeri,Betigeri,15.443,75.6442,India
Passo Fundo,Passo Fundo,-28.25,-52.4,Brazil
Banjar,Banjar,-7.3667,108.5333,Indonesia
Kinh Môn,Kinh Mon,21.033,106.5,Vietnam
Bingerville,Bingerville,5.35,-3.9,Côte d'Ivoire
Bắc Giang,Bac Giang,21.2667,106.2,Vietnam
Sejong,Sejong,36.487,127.2822,South Korea
Yachiyo,Yachiyo,35.7224,140.0999,Japan
Amarillo,Amarillo,35.1984,-101.8316,United States
Mandi Burewala,Mandi Burewala,30.15,72.6833,Pakistan
Vĩnh Long,Vinh Long,10.25,105.9667,Vietnam
Mokameh,Mokameh,25.3898,85.9191,India
Coquimbo,Coquimbo,-29.9531,-71.3433,Chile
Tekirdağ,Tekirdag,40.9778,27.5153,Turkey
Huntington,Huntington,40.8521,-73.3823,United States
Parnamirim,Parnamirim,-5.9167,-35.25,Brazil
Holon,Holon,32.0167,34.7667,Israel
Kukawa,Kukawa,12.9167,13.5667,Nigeria
Biysk,Biysk,52.5333,85.2167,Russia
Charleroi,Charleroi,50.4,4.4333,Belgium
Aberdeen,Aberdeen,57.15,-2.11,United Kingdom
Deoghar,Deoghar,24.48,86.7,India
